entry,at,order
"The player ""Solenya @ Cm7T72VOne"" passed the room ownership to ""Leon @ FBmvb3C6ih"".",2020-12-17T22:12:51.593Z,160824317159400
"The player ""dajafa @ 3lqztn0PtJ"" requested a seat.",2020-12-17T22:06:29.225Z,160824278922600
"The player ""dajafa @ 3lqztn0PtJ"" quits the game with a stack of 0.",2020-12-17T22:04:11.408Z,160824265141200
"-- ending hand #124 --",2020-12-17T22:04:05.377Z,160824264537801
"""Leon @ FBmvb3C6ih"" collected 167120 from pot with Two Pair, K's & 8's (combination: K♣, K♥, 8♠, 8♣, Q♥)",2020-12-17T22:04:05.377Z,160824264537800
"river: Q♥, 8♠, 7♠, 9♠ [8♣]",2020-12-17T22:04:02.347Z,160824264235200
"turn: Q♥, 8♠, 7♠ [9♠]",2020-12-17T22:03:59.262Z,160824263926400
"flop:  [Q♥, 8♠, 7♠]",2020-12-17T22:03:56.244Z,160824263624400
"""Leon @ FBmvb3C6ih"" shows a K♣, K♥.",2020-12-17T22:03:53.202Z,160824263320401
"""dajafa @ 3lqztn0PtJ"" shows a Q♦, 5♦.",2020-12-17T22:03:53.202Z,160824263320400
"""Leon @ FBmvb3C6ih"" calls 83560",2020-12-17T22:03:52.396Z,160824263239600
"""dajafa @ 3lqztn0PtJ"" raises to 83560 and go all in",2020-12-17T22:03:49.582Z,160824262958300
"""Leon @ FBmvb3C6ih"" raises to 45000",2020-12-17T22:03:22.882Z,160824260288200
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 10000",2020-12-17T22:03:13.505Z,160824259351308
"""Leon @ FBmvb3C6ih"" posts a small blind of 5000",2020-12-17T22:03:13.505Z,160824259351307
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (83560) | #6 ""Leon @ FBmvb3C6ih"" (164440)",2020-12-17T22:03:13.505Z,160824259351304
"-- starting hand #124  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T22:03:13.505Z,160824259351303
"The game's big blind was changed from 5000 to 10000.",2020-12-17T22:03:13.505Z,160824259351302
"The game's small blind was changed from 2500 to 5000.",2020-12-17T22:03:13.505Z,160824259351301
"The player ""Vaibhav @ d9aWWonCb9"" quits the game with a stack of 0.",2020-12-17T22:03:13.505Z,160824259351300
"-- ending hand #123 --",2020-12-17T22:03:06.993Z,160824258699603
"""Vaibhav @ d9aWWonCb9"" shows a 10♠, Q♠.",2020-12-17T22:03:06.993Z,160824258699602
"""Leon @ FBmvb3C6ih"" collected 92808 from pot with Two Pair, 5's & 3's (combination: 5♥, 5♣, 3♦, 3♣, J♠)",2020-12-17T22:03:06.993Z,160824258699601
"""Leon @ FBmvb3C6ih"" shows a 3♦, 5♥.",2020-12-17T22:03:06.993Z,160824258699600
"""Leon @ FBmvb3C6ih"" calls 15154",2020-12-17T22:03:06.182Z,160824258618600
"""Vaibhav @ d9aWWonCb9"" bets 15154 and go all in",2020-12-17T22:03:04.979Z,160824258498000
"river: 6♠, J♠, 7♦, 5♣ [3♣]",2020-12-17T22:03:01.011Z,160824258101400
"""Vaibhav @ d9aWWonCb9"" calls 18750",2020-12-17T22:03:00.203Z,160824258020600
"""Leon @ FBmvb3C6ih"" bets 18750",2020-12-17T22:02:57.600Z,160824257760100
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:02:53.279Z,160824257328000
"turn: 6♠, J♠, 7♦ [5♣]",2020-12-17T22:02:51.038Z,160824257104000
"""Vaibhav @ d9aWWonCb9"" calls 7500",2020-12-17T22:02:50.223Z,160824257022400
"""Leon @ FBmvb3C6ih"" bets 7500",2020-12-17T22:02:24.363Z,160824254436600
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:02:17.309Z,160824253731200
"flop:  [6♠, J♠, 7♦]",2020-12-17T22:02:07.082Z,160824252708300
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T22:02:06.275Z,160824252627600
"""Vaibhav @ d9aWWonCb9"" calls 5000",2020-12-17T22:02:01.756Z,160824252175700
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:01:38.490Z,160824249849100
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T22:01:36.802Z,160824249680706
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T22:01:36.802Z,160824249680705
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (83560) | #4 ""Vaibhav @ d9aWWonCb9"" (46404) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T22:01:36.802Z,160824249680701
"-- starting hand #123  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T22:01:36.802Z,160824249680700
"-- ending hand #122 --",2020-12-17T22:01:33.887Z,160824249388802
"""Vaibhav @ d9aWWonCb9"" collected 20000 from pot",2020-12-17T22:01:33.887Z,160824249388801
"Uncalled bet of 5000 returned to ""Vaibhav @ d9aWWonCb9""",2020-12-17T22:01:33.887Z,160824249388800
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:01:33.065Z,160824249306600
"""Vaibhav @ d9aWWonCb9"" raises to 10000",2020-12-17T22:01:27.927Z,160824248792800
"""dajafa @ 3lqztn0PtJ"" bets 5000",2020-12-17T22:01:25.321Z,160824248532100
"flop:  [8♣, 9♣, 2♠]",2020-12-17T22:01:18.799Z,160824247880000
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:01:17.993Z,160824247799400
"""dajafa @ 3lqztn0PtJ"" calls 5000",2020-12-17T22:01:15.851Z,160824247585200
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T22:01:09.250Z,160824246925100
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T22:01:00.401Z,160824246041706
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T22:01:00.401Z,160824246041705
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (93560) | #4 ""Vaibhav @ d9aWWonCb9"" (36404) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T22:01:00.401Z,160824246041701
"-- starting hand #122  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T22:01:00.401Z,160824246041700
"-- ending hand #121 --",2020-12-17T22:00:57.422Z,160824245742302
"""dajafa @ 3lqztn0PtJ"" collected 5000 from pot",2020-12-17T22:00:57.422Z,160824245742301
"Uncalled bet of 2500 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T22:00:57.422Z,160824245742300
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T22:00:56.615Z,160824245661600
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T22:00:49.596Z,160824244959700
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 5000",2020-12-17T22:00:46.980Z,160824244698106
"""Leon @ FBmvb3C6ih"" posts a small blind of 2500",2020-12-17T22:00:46.980Z,160824244698105
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (91060) | #4 ""Vaibhav @ d9aWWonCb9"" (36404) | #6 ""Leon @ FBmvb3C6ih"" (120536)",2020-12-17T22:00:46.980Z,160824244698101
"-- starting hand #121  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T22:00:46.980Z,160824244698100
"-- ending hand #120 --",2020-12-17T22:00:44.065Z,160824244406702
"""Leon @ FBmvb3C6ih"" collected 5000 from pot",2020-12-17T22:00:44.065Z,160824244406701
"Uncalled bet of 2500 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T22:00:44.065Z,160824244406700
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T22:00:43.252Z,160824244325300
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:00:39.482Z,160824243948300
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T22:00:32.647Z,160824243264806
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T22:00:32.647Z,160824243264805
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (91060) | #4 ""Vaibhav @ d9aWWonCb9"" (38904) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T22:00:32.647Z,160824243264801
"-- starting hand #120  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T22:00:32.647Z,160824243264800
"-- ending hand #119 --",2020-12-17T22:00:29.735Z,160824242973602
"""Leon @ FBmvb3C6ih"" collected 12500 from pot",2020-12-17T22:00:29.735Z,160824242973601
"Uncalled bet of 5000 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T22:00:29.735Z,160824242973600
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T22:00:28.929Z,160824242892900
"""Leon @ FBmvb3C6ih"" bets 5000",2020-12-17T22:00:21.752Z,160824242175200
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:00:18.075Z,160824241807600
"flop:  [10♦, A♥, 3♠]",2020-12-17T22:00:15.320Z,160824241532100
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:00:14.503Z,160824241450400
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:00:10.586Z,160824241059400
"""Leon @ FBmvb3C6ih"" calls 5000",2020-12-17T22:00:08.284Z,160824240828500
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T21:59:58.734Z,160824239873506
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T21:59:58.734Z,160824239873505
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (93560) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (110536)",2020-12-17T21:59:58.734Z,160824239873501
"-- starting hand #119  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:59:58.734Z,160824239873500
"""Leon @ FBmvb3C6ih"" shows a 4♥, K♦.",2020-12-17T21:59:56.016Z,160824239601700
"""dajafa @ 3lqztn0PtJ"" shows a 8♥, J♥.",2020-12-17T21:59:55.357Z,160824239535800
"-- ending hand #118 --",2020-12-17T21:59:54.391Z,160824239439202
"""dajafa @ 3lqztn0PtJ"" collected 25000 from pot",2020-12-17T21:59:54.391Z,160824239439201
"Uncalled bet of 68560 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T21:59:54.391Z,160824239439200
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:59:53.574Z,160824239357500
"""dajafa @ 3lqztn0PtJ"" raises to 76060 and go all in",2020-12-17T21:59:24.742Z,160824236474400
"""Leon @ FBmvb3C6ih"" bets 7500",2020-12-17T21:59:17.902Z,160824235790300
"flop:  [4♣, A♦, 6♣]",2020-12-17T21:59:07.046Z,160824234704700
"""dajafa @ 3lqztn0PtJ"" checks",2020-12-17T21:59:06.240Z,160824234624100
"""Leon @ FBmvb3C6ih"" calls 5000",2020-12-17T21:59:02.300Z,160824234230100
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:58:48.865Z,160824232886600
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 5000",2020-12-17T21:58:46.648Z,160824232664906
"""Leon @ FBmvb3C6ih"" posts a small blind of 2500",2020-12-17T21:58:46.648Z,160824232664905
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (81060) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (123036)",2020-12-17T21:58:46.648Z,160824232664901
"-- starting hand #118  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:58:46.648Z,160824232664900
"""Leon @ FBmvb3C6ih"" shows a 10♣, 4♠.",2020-12-17T21:58:44.339Z,160824232434000
"-- ending hand #117 --",2020-12-17T21:58:42.999Z,160824232300002
"""Vaibhav @ d9aWWonCb9"" collected 10000 from pot",2020-12-17T21:58:42.999Z,160824232300001
"Uncalled bet of 5000 returned to ""Vaibhav @ d9aWWonCb9""",2020-12-17T21:58:42.999Z,160824232300000
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:58:42.168Z,160824232217000
"""Vaibhav @ d9aWWonCb9"" bets 5000",2020-12-17T21:58:39.312Z,160824231931300
"flop:  [5♠, 2♠, K♣]",2020-12-17T21:58:37.035Z,160824231703700
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:58:36.225Z,160824231622600
"""Vaibhav @ d9aWWonCb9"" calls 5000",2020-12-17T21:58:33.974Z,160824231397700
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:58:31.518Z,160824231151900
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T21:58:29.970Z,160824230997106
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T21:58:29.970Z,160824230997105
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (81060) | #4 ""Vaibhav @ d9aWWonCb9"" (38904) | #6 ""Leon @ FBmvb3C6ih"" (128036)",2020-12-17T21:58:29.970Z,160824230997101
"-- starting hand #117  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T21:58:29.970Z,160824230997100
"-- ending hand #116 --",2020-12-17T21:58:27.043Z,160824230704402
"""Leon @ FBmvb3C6ih"" collected 12500 from pot",2020-12-17T21:58:27.043Z,160824230704401
"Uncalled bet of 9375 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:58:27.043Z,160824230704400
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:58:26.233Z,160824230623400
"""Leon @ FBmvb3C6ih"" bets 9375",2020-12-17T21:58:16.422Z,160824229642300
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:58:13.244Z,160824229324500
"flop:  [3♣, 3♦, Q♦]",2020-12-17T21:58:10.448Z,160824229044900
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:58:09.643Z,160824228964400
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:58:07.690Z,160824228769100
"""Leon @ FBmvb3C6ih"" calls 5000",2020-12-17T21:58:05.412Z,160824228541300
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T21:58:00.821Z,160824228082206
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T21:58:00.821Z,160824228082205
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (83560) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (120536)",2020-12-17T21:58:00.821Z,160824228082201
"-- starting hand #116  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:58:00.821Z,160824228082200
"""Leon @ FBmvb3C6ih"" shows a Q♥, 8♦.",2020-12-17T21:57:58.130Z,160824227813100
"-- ending hand #115 --",2020-12-17T21:57:57.208Z,160824227720902
"""dajafa @ 3lqztn0PtJ"" collected 25000 from pot",2020-12-17T21:57:57.208Z,160824227720901
"Uncalled bet of 58560 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T21:57:57.208Z,160824227720900
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:57:56.403Z,160824227640400
"""dajafa @ 3lqztn0PtJ"" raises to 71060 and go all in",2020-12-17T21:57:53.454Z,160824227345500
"""Leon @ FBmvb3C6ih"" raises to 12500",2020-12-17T21:57:46.812Z,160824226681300
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:57:40.511Z,160824226051200
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 5000",2020-12-17T21:57:37.259Z,160824225726106
"""Leon @ FBmvb3C6ih"" posts a small blind of 2500",2020-12-17T21:57:37.259Z,160824225726105
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (71060) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (133036)",2020-12-17T21:57:37.259Z,160824225726101
"-- starting hand #115  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:57:37.259Z,160824225726100
"-- ending hand #114 --",2020-12-17T21:57:34.345Z,160824225434602
"""dajafa @ 3lqztn0PtJ"" collected 12500 from pot",2020-12-17T21:57:34.345Z,160824225434601
"Uncalled bet of 5000 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T21:57:34.345Z,160824225434600
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:57:33.538Z,160824225353900
"""dajafa @ 3lqztn0PtJ"" bets 5000",2020-12-17T21:57:28.903Z,160824224890400
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:57:26.611Z,160824224661200
"turn: 7♣, 8♠, A♠ [K♣]",2020-12-17T21:57:18.740Z,160824223874100
"""dajafa @ 3lqztn0PtJ"" checks",2020-12-17T21:57:17.917Z,160824223791800
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:57:12.340Z,160824223234000
"flop:  [7♣, 8♠, A♠]",2020-12-17T21:57:07.874Z,160824222787500
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:57:07.045Z,160824222704600
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:57:01.456Z,160824222145600
"""dajafa @ 3lqztn0PtJ"" calls 5000",2020-12-17T21:56:59.863Z,160824221986400
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T21:56:55.675Z,160824221567606
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T21:56:55.675Z,160824221567605
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (63560) | #4 ""Vaibhav @ d9aWWonCb9"" (46404) | #6 ""Leon @ FBmvb3C6ih"" (138036)",2020-12-17T21:56:55.675Z,160824221567601
"-- starting hand #114  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T21:56:55.675Z,160824221567600
"-- ending hand #113 --",2020-12-17T21:56:52.762Z,160824221276302
"""Vaibhav @ d9aWWonCb9"" collected 5000 from pot",2020-12-17T21:56:52.762Z,160824221276301
"Uncalled bet of 2500 returned to ""Vaibhav @ d9aWWonCb9""",2020-12-17T21:56:52.762Z,160824221276300
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:56:51.957Z,160824221195800
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:56:50.416Z,160824221041700
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T21:56:46.472Z,160824220647406
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T21:56:46.472Z,160824220647405
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (66060) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (138036)",2020-12-17T21:56:46.472Z,160824220647401
"-- starting hand #113  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:56:46.472Z,160824220647400
"-- ending hand #112 --",2020-12-17T21:56:43.557Z,160824220355802
"""dajafa @ 3lqztn0PtJ"" collected 5000 from pot",2020-12-17T21:56:43.557Z,160824220355801
"Uncalled bet of 2500 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T21:56:43.557Z,160824220355800
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:56:42.748Z,160824220274800
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:56:36.348Z,160824219634900
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 5000",2020-12-17T21:56:33.578Z,160824219358006
"""Leon @ FBmvb3C6ih"" posts a small blind of 2500",2020-12-17T21:56:33.578Z,160824219358005
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (63560) | #4 ""Vaibhav @ d9aWWonCb9"" (43904) | #6 ""Leon @ FBmvb3C6ih"" (140536)",2020-12-17T21:56:33.578Z,160824219358001
"-- starting hand #112  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:56:33.578Z,160824219358000
"-- ending hand #111 --",2020-12-17T21:56:30.656Z,160824219065702
"""Leon @ FBmvb3C6ih"" collected 5000 from pot",2020-12-17T21:56:30.656Z,160824219065701
"Uncalled bet of 2500 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:56:30.656Z,160824219065700
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:56:29.847Z,160824218984800
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:56:26.839Z,160824218684000
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T21:56:24.340Z,160824218434206
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T21:56:24.340Z,160824218434205
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (63560) | #4 ""Vaibhav @ d9aWWonCb9"" (46404) | #6 ""Leon @ FBmvb3C6ih"" (138036)",2020-12-17T21:56:24.340Z,160824218434201
"-- starting hand #111  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T21:56:24.340Z,160824218434200
"-- ending hand #110 --",2020-12-17T21:56:21.412Z,160824218141302
"""Leon @ FBmvb3C6ih"" collected 15000 from pot",2020-12-17T21:56:21.412Z,160824218141301
"Uncalled bet of 11250 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:56:21.412Z,160824218141300
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:56:20.602Z,160824218060300
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:56:19.025Z,160824217902600
"""Leon @ FBmvb3C6ih"" bets 11250",2020-12-17T21:56:16.976Z,160824217697700
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:56:11.346Z,160824217134700
"""dajafa @ 3lqztn0PtJ"" checks",2020-12-17T21:56:09.687Z,160824216968800
"flop:  [2♠, 10♦, 8♥]",2020-12-17T21:56:05.698Z,160824216570000
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:56:04.893Z,160824216489400
"""dajafa @ 3lqztn0PtJ"" calls 5000",2020-12-17T21:56:02.819Z,160824216282000
"""Leon @ FBmvb3C6ih"" calls 5000",2020-12-17T21:55:57.942Z,160824215794300
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T21:55:47.170Z,160824214717106
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T21:55:47.170Z,160824214717105
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (68560) | #4 ""Vaibhav @ d9aWWonCb9"" (51404) | #6 ""Leon @ FBmvb3C6ih"" (128036)",2020-12-17T21:55:47.170Z,160824214717101
"-- starting hand #110  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:55:47.170Z,160824214717100
"-- ending hand #109 --",2020-12-17T21:55:44.260Z,160824214426102
"""Leon @ FBmvb3C6ih"" collected 10000 from pot",2020-12-17T21:55:44.260Z,160824214426101
"Uncalled bet of 5000 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:55:44.260Z,160824214426100
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:55:43.453Z,160824214345400
"""Leon @ FBmvb3C6ih"" raises to 10000",2020-12-17T21:55:40.249Z,160824214025000
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:55:24.314Z,160824212431500
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 5000",2020-12-17T21:55:20.722Z,160824212072306
"""Leon @ FBmvb3C6ih"" posts a small blind of 2500",2020-12-17T21:55:20.722Z,160824212072305
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (73560) | #4 ""Vaibhav @ d9aWWonCb9"" (51404) | #6 ""Leon @ FBmvb3C6ih"" (123036)",2020-12-17T21:55:20.722Z,160824212072301
"-- starting hand #109  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:55:20.722Z,160824212072300
"-- ending hand #108 --",2020-12-17T21:55:17.809Z,160824211781002
"""Leon @ FBmvb3C6ih"" collected 10000 from pot",2020-12-17T21:55:17.809Z,160824211781001
"Uncalled bet of 7500 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:55:17.809Z,160824211781000
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:55:16.981Z,160824211698700
"""Leon @ FBmvb3C6ih"" bets 7500",2020-12-17T21:55:15.542Z,160824211554300
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:55:11.995Z,160824211199600
"flop:  [5♥, Q♦, 6♥]",2020-12-17T21:55:05.730Z,160824210573100
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:55:04.924Z,160824210492500
"""Vaibhav @ d9aWWonCb9"" calls 5000",2020-12-17T21:55:00.906Z,160824210090700
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:54:58.753Z,160824209875400
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T21:54:56.553Z,160824209655508
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T21:54:56.553Z,160824209655507
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (73560) | #4 ""Vaibhav @ d9aWWonCb9"" (56404) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T21:54:56.553Z,160824209655503
"-- starting hand #108  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T21:54:56.553Z,160824209655502
"The game's big blind was changed from 4000 to 5000.",2020-12-17T21:54:56.553Z,160824209655501
"The game's small blind was changed from 2000 to 2500.",2020-12-17T21:54:56.553Z,160824209655500
"-- ending hand #107 --",2020-12-17T21:54:53.611Z,160824209361302
"""dajafa @ 3lqztn0PtJ"" collected 8000 from pot",2020-12-17T21:54:53.611Z,160824209361301
"Uncalled bet of 4000 returned to ""dajafa @ 3lqztn0PtJ""",2020-12-17T21:54:53.611Z,160824209361300
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:54:52.801Z,160824209280500
"""dajafa @ 3lqztn0PtJ"" raises to 8000",2020-12-17T21:54:50.509Z,160824209051000
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:54:46.233Z,160824208623400
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 4000",2020-12-17T21:54:42.671Z,160824208267206
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2000",2020-12-17T21:54:42.671Z,160824208267205
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (69560) | #4 ""Vaibhav @ d9aWWonCb9"" (60404) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T21:54:42.671Z,160824208267201
"-- starting hand #107  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:54:42.671Z,160824208267200
"""Leon @ FBmvb3C6ih"" shows a 6♣, 2♣.",2020-12-17T21:54:40.112Z,160824208011300
"-- ending hand #106 --",2020-12-17T21:54:39.067Z,160824207907002
"""Leon @ FBmvb3C6ih"" collected 20000 from pot",2020-12-17T21:54:39.067Z,160824207907001
"Uncalled bet of 15000 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:54:39.067Z,160824207907000
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T21:54:38.246Z,160824207824700
"""Leon @ FBmvb3C6ih"" bets 15000",2020-12-17T21:54:35.492Z,160824207549300
"turn: 10♥, 8♥, 5♣ [7♦]",2020-12-17T21:54:23.486Z,160824206348700
"""dajafa @ 3lqztn0PtJ"" calls 6000",2020-12-17T21:54:22.678Z,160824206267900
